,호선명,지하철역,무임승차율,무임하차율
226,7호선,내방,0.1713252548647343,0.1636681595627735
227,7호선,노원,0.21120759722251026,0.20248124944608958
228,7호선,논현,0.08690775045910482,0.08177212632395779
229,7호선,대림(구로구청),0.14928245521240122,0.14424339328641725
230,7호선,도봉산,0.18505490507457725,0.22151063328631435
231,7호선,뚝섬유원지,0.16058860015173756,0.1655479851451943
232,7호선,마들,0.22860744469742258,0.24108768657080695
233,7호선,먹골,0.22206818630115546,0.23130505334128307
234,7호선,면목,0.2132403707823345,0.22702747111726782
235,7호선,반포,0.19670372525751625,0.19371627702148428
236,7호선,보라매,0.15804319094304525,0.16049177521904381
237,7호선,부천시청,0.13333333333333333,
238,7호선,부천종합운동장,0.0,
239,7호선,부평구청,0.0,
240,7호선,사가정,0.21104053379016463,0.2127497571475163
241,7호선,삼산체육관,0.3333333333333333,
242,7호선,상도,0.18165533296324046,0.1781411185341999
243,7호선,상동,0.0,
244,7호선,상봉(시외버스터미널),0.14690396915684176,0.14822912666997431
245,7호선,수락산,0.2621674640700233,0.26991570429599576
246,7호선,숭실대입구(살피재),0.1592330122273117,0.1640152631534896
247,7호선,신대방삼거리,0.19995882197318324,0.21567155385529246
248,7호선,신중동,0.16666666666666666,
249,7호선,신풍,0.21792044712362887,0.22950746365906327
250,7호선,어린이대공원(세종대),0.0966461231697507,0.09528130804375333
251,7호선,온수(성공회대입구),0.13956119553278065,0.14212943500998507
252,7호선,용마산(용마폭포공원),0.20579630619525013,0.22798945341318055
253,7호선,이수,0.16462874706356376,0.1633160148820401
254,7호선,장승배기,0.2529338029374875,0.26379154668937127
255,7호선,장암,0.15707394285982043,0.25290499773578073
256,7호선,중계,0.21850277879997815,0.23196606133282924
257,7호선,중곡,0.19982742581966761,0.21516344869547285
258,7호선,중화,0.20657116071692794,0.21236770846078964
259,7호선,천왕,0.17411671684365912,0.18260040418154003
260,7호선,철산,0.16301716944973563,0.15905120478678494
261,7호선,청담,0.14071679463722175,0.1219084116621994
262,7호선,춘의,0.0,
263,7호선,태릉입구,0.16983608825114135,0.1698006241531399
264,7호선,하계,0.20616311708660226,0.21355084817347236
265,7호선,학동,0.09553665748090151,0.086366335187681
266,8호선,가락시장,0.27781130610930804,0.2550272165864602
