,호선,역명,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
174,5호선,행당,107.42,212.96,286.33,505.88,600.75,623.2,643.83,691.73,705.29,641.46,650.02,677.45,672.01,567.98,446.29,391.04,376.98,310.02,202.04,13.81,13-14시간대
175,5호선,화곡,518.45,827.9,1104.63,1784.26,2106.83,2021.36,2087.7,2290.35,2314.58,2223.92,2260.04,2482.99,2528.4,2304.8,1870.23,1693.4,1796.49,1501.24,919.9,129.53,17-18시간대
176,6호선,고려대(종암),107.82,231.4,302.19,508.05,586.1,592.43,587.22,711.98,715.42,669.09,687.96,743.92,768.78,654.55,531.47,483.22,497.15,504.22,335.35,7.28,17-18시간대
177,6호선,공덕,179.15,332.7,418.24,740.92,925.48,978.63,1114.25,1263.04,1280.24,1245.89,1242.88,1380.37,1446.31,1250.53,985.03,895.42,890.33,763.26,487.75,101.12,17-18시간대
178,6호선,광흥창(서강),108.71,223.64,275.27,467.93,608.47,632.42,587.34,738.72,691.58,684.12,672.43,733.96,707.57,608.78,471.07,430.87,410.04,350.05,219.82,7.4,12-13시간대
179,6호선,구산,114.98,208.81,304.62,466.01,528.05,582.63,597.42,657.81,638.98,589.82,609.84,644.94,606.96,524.48,425.8,347.27,335.94,295.34,168.84,0.92,12-13시간대
180,6호선,녹사평(용산구청),92.02,133.58,138.09,207.97,273.26,408.1,488.04,585.12,667.63,682.35,722.75,844.01,925.33,826.81,668.35,617.93,612.73,549.37,345.0,9.97,17-18시간대
181,6호선,대흥(서강대앞),90.0,161.48,255.52,454.55,585.17,595.96,654.56,781.73,797.45,731.66,755.88,807.53,823.63,729.92,525.74,460.16,462.0,434.13,314.95,25.85,17-18시간대
182,6호선,독바위,57.54,91.76,134.89,217.82,309.08,310.17,266.34,267.6,251.62,245.66,256.48,272.49,256.13,231.73,188.89,167.11,157.31,141.57,92.36,25.81,10-11시간대
183,6호선,돌곶이,158.92,312.29,406.89,655.09,822.73,911.93,690.16,753.57,829.07,933.39,850.36,813.65,810.35,724.5,566.08,501.49,509.3,424.59,282.74,26.65,14-15시간대
184,6호선,동묘앞,108.09,181.27,226.72,438.82,609.44,800.31,1034.04,1242.74,1366.44,1422.94,1412.16,1321.5,1115.69,801.59,566.15,469.34,441.35,373.27,301.53,39.23,14-15시간대
185,6호선,디지털미디어시티,202.73,424.39,505.09,726.93,827.11,875.77,885.55,962.11,964.63,911.9,972.54,1083.96,1114.51,965.98,741.42,639.76,652.42,568.75,374.94,71.88,17-18시간대
186,6호선,마포구청,210.87,362.15,467.91,802.21,990.47,993.52,1018.42,1150.64,1147.18,1090.19,1113.54,1230.28,1261.63,1096.47,882.35,800.86,734.45,713.19,436.64,4.67,17-18시간대
187,6호선,망원,161.29,289.33,380.52,677.88,949.61,1172.7,1502.88,1848.92,2029.45,2015.96,2053.54,2166.74,2170.65,1892.4,1449.72,1261.63,1170.81,960.19,515.24,3.41,17-18시간대
188,6호선,버티고개,35.2,61.73,85.52,126.52,152.65,171.33,171.09,192.79,200.17,191.39,200.03,217.02,220.88,182.91,143.78,126.08,122.98,110.93,74.89,5.08,17-18시간대
189,6호선,보문,104.68,206.95,264.82,449.87,516.09,548.35,582.21,648.63,679.34,606.77,603.56,668.86,665.31,605.21,485.45,459.39,469.99,447.99,345.58,40.88,13-14시간대
190,6호선,봉화산(서울의료원),125.97,228.91,371.12,540.36,599.92,637.52,606.73,663.45,695.83,651.13,662.34,725.5,712.46,620.63,500.79,434.34,444.42,381.44,271.44,32.78,16-17시간대
191,6호선,불광,52.18,118.48,148.95,247.69,366.43,371.31,408.43,478.73,523.45,552.04,573.54,623.42,576.27,471.42,365.11,296.74,278.22,212.65,139.14,12.28,16-17시간대
192,6호선,삼각지,65.55,147.78,214.89,299.86,378.3,472.15,587.92,714.68,810.42,825.54,874.34,944.88,964.25,738.19,514.58,488.14,430.14,405.89,251.47,11.03,17-18시간대
193,6호선,상수,306.37,309.5,229.34,319.42,517.86,714.35,918.08,1147.88,1289.82,1288.02,1301.91,1440.88,1563.81,1438.11,1165.17,1063.66,1128.42,1055.58,790.97,6.4,17-18시간대
194,6호선,상월곡(한국과학기술연구원),116.18,180.1,251.43,424.08,471.99,456.63,481.05,489.55,506.45,474.62,477.51,514.2,506.99,442.08,350.77,311.88,325.09,284.65,224.69,11.32,16-17시간대
195,6호선,새절(신사),250.47,393.49,520.96,792.59,931.0,933.54,934.89,1040.31,1040.35,990.66,1020.27,1126.83,1122.84,1060.42,855.5,701.18,703.14,601.59,384.42,47.73,16-17시간대
196,6호선,석계,242.01,376.96,496.36,790.42,900.33,927.5,944.81,1034.76,1040.57,993.11,1063.57,1143.25,1205.71,1080.07,892.9,775.95,762.57,675.71,466.67,59.2,17-18시간대
197,6호선,신내,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06시이전
198,6호선,신당,86.19,195.42,225.0,483.72,433.0,452.88,584.47,724.73,873.93,655.67,656.6,916.42,973.9,833.96,696.42,581.73,732.72,520.85,367.68,18.64,17-18시간대
199,6호선,안암(고대병원앞),119.59,238.57,298.75,433.18,520.37,588.33,697.96,861.77,934.94,860.2,911.83,958.16,1037.19,944.79,735.31,656.66,730.19,760.28,548.09,104.61,17-18시간대
200,6호선,약수,43.6,91.77,113.48,215.69,252.18,261.65,282.54,325.68,336.66,316.07,317.96,346.0,344.73,322.9,236.57,208.12,196.07,180.44,107.09,5.33,16-17시간대
201,6호선,역촌,57.07,132.49,172.19,266.08,301.7,303.96,324.65,356.82,369.32,342.3,348.0,375.67,376.58,342.51,279.96,239.7,246.46,212.65,160.1,1.36,17-18시간대
