,역명,호선,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
111,신용산,4호선,98.85,648.4,2022.31,4681.46,3373.73,1628.03,1405.6,1424.89,1540.43,1501.69,1738.01,2152.97,3580.53,5617.99,2602.87,1666.96,1557.5,1163.31,575.38,104.84,18-19시간대
112,쌍문,4호선,958.22,2460.32,5980.88,6308.96,3578.86,2409.01,2173.99,2274.1,2196.48,2141.8,2506.55,3081.28,3847.48,5457.69,4762.75,2801.34,2376.29,2175.42,1330.15,345.5,08-09시간대
113,이촌(국립중앙박물관),4호선,84.88,461.52,1105.11,1821.14,1343.05,1043.09,989.51,1146.35,1158.12,1161.67,1289.57,1493.94,1666.48,1902.85,956.76,640.44,599.56,463.81,225.33,60.76,18-19시간대
114,창동,4호선,802.99,2154.46,4552.17,4824.5,2972.32,2279.61,2229.55,2450.71,2555.49,2597.28,2909.4,3435.88,4051.03,5333.12,4085.2,2464.05,2130.87,1911.72,1119.9,333.46,18-19시간대
115,총신대입구(이수),4호선,265.29,1010.73,2838.48,4360.85,2592.59,1829.31,1794.87,1876.8,1963.93,1977.19,2247.35,2574.17,3334.17,4824.42,2867.31,1894.18,1628.82,1459.06,768.52,163.94,18-19시간대
116,충무로,4호선,247.44,1088.65,2779.62,8190.33,5016.4,2937.33,2543.09,2466.45,2611.15,2627.85,2790.03,3314.04,5143.19,7992.45,3747.98,2493.87,2447.23,1985.85,1095.42,243.38,08-09시간대
117,한성대입구(삼선교),4호선,290.1,764.73,2027.45,2746.19,1874.84,1366.33,1270.16,1387.06,1403.69,1387.82,1538.33,2000.21,2295.37,2693.18,1895.68,1289.92,1171.54,1032.62,623.2,220.51,08-09시간대
118,혜화,4호선,225.12,1195.23,2888.24,5996.9,4530.56,3676.72,3439.06,3590.56,4004.38,4244.76,4539.33,4818.37,5929.18,7500.75,4442.38,2697.77,3683.44,3664.13,1400.77,259.0,18-19시간대
119,회현(남대문시장),4호선,92.79,922.62,2487.61,6096.79,4193.22,3265.4,3371.8,3256.33,3318.35,3543.31,3659.22,3926.38,4733.2,5878.19,2391.36,1862.01,1061.18,675.9,289.4,65.2,08-09시간대
120,강동,5호선,451.44,1230.83,3636.84,5103.58,2481.96,1565.63,1428.57,1466.33,1566.87,1536.55,1744.71,2063.08,2976.01,4104.42,2455.62,1581.59,1373.1,1168.58,685.17,257.02,08-09시간대
121,강일,5호선,130.1,443.9,1170.58,1194.38,603.98,413.68,359.56,394.81,377.23,356.38,452.86,582.6,737.34,987.0,772.85,424.88,386.09,320.49,224.02,77.93,08-09시간대
122,개롱,5호선,164.25,523.32,1342.86,1632.79,798.1,567.89,524.25,565.87,579.58,575.66,641.6,935.68,1084.62,1385.9,1051.14,596.03,475.54,484.78,238.08,74.28,08-09시간대
