,호선,역명,고유역번호(외부역코드),요일,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,총 이용인원,위도,경도,location
60,1호선,서울역,150,6.0,승차,9548.0,10710.0,18160.0,42815.0,65326.0,90129.0,110681.0,131778.0,132238.0,102001.0,141195.0,138249.0,151381.0,140987.0,136202.0,119011.0,125703.0,94134.0,35941.0,1311.0,1797500.0,37.55315,126.972533,"(37.55315, 126.972533)"
61,1호선,서울역,150,6.0,승하차 차이,1176.0,-32759.0,-33121.0,-22203.0,-30897.0,-4444.0,14638.0,8101.0,4609.0,-26940.0,4899.0,4753.0,5424.0,15340.0,20562.0,25798.0,54059.0,51828.0,16323.0,-737.0,76409.0,37.55315,126.972533,"(37.55315, 126.972533)"
62,1호선,서울역,150,6.0,하차,8372.0,43469.0,51281.0,65018.0,96223.0,94573.0,96043.0,123677.0,127629.0,128941.0,136296.0,133496.0,145957.0,125647.0,115640.0,93213.0,71644.0,42306.0,19618.0,2048.0,1721091.0,37.55315,126.972533,"(37.55315, 126.972533)"
63,1호선,시청,151,0.0,승차,5299.0,6671.0,13959.0,16781.0,19337.0,23363.0,33540.0,35503.0,43447.0,57517.0,78842.0,86545.0,160275.0,324372.0,110054.0,90784.0,83000.0,50564.0,15154.0,714.0,1255721.0,37.56359,126.975407,"(37.56359, 126.975407)"
64,1호선,시청,151,0.0,승하차 차이,-3388.0,-36343.0,-129691.0,-383176.0,-151610.0,-45997.0,-29921.0,-24045.0,-14687.0,11238.0,41435.0,53197.0,124041.0,287400.0,91789.0,79041.0,71392.0,42623.0,10163.0,-500.0,-7039.0,37.56359,126.975407,"(37.56359, 126.975407)"
65,1호선,시청,151,0.0,하차,8687.0,43014.0,143650.0,399957.0,170947.0,69360.0,63461.0,59548.0,58134.0,46279.0,37407.0,33348.0,36234.0,36972.0,18265.0,11743.0,11608.0,7941.0,4991.0,1214.0,1262760.0,37.56359,126.975407,"(37.56359, 126.975407)"
66,1호선,시청,151,1.0,승차,4307.0,6737.0,14287.0,18041.0,20602.0,24712.0,37227.0,37899.0,47033.0,58775.0,78442.0,93009.0,176648.0,351525.0,120193.0,102062.0,100122.0,63306.0,20037.0,839.0,1375803.0,37.56359,126.975407,"(37.56359, 126.975407)"
67,1호선,시청,151,1.0,승하차 차이,-5279.0,-39141.0,-140610.0,-435495.0,-175367.0,-51975.0,-27452.0,-19029.0,-8376.0,13786.0,38484.0,56373.0,134535.0,304734.0,99499.0,89976.0,88247.0,55012.0,14695.0,-510.0,-7893.0,37.56359,126.975407,"(37.56359, 126.975407)"
68,1호선,시청,151,1.0,하차,9586.0,45878.0,154897.0,453536.0,195969.0,76687.0,64679.0,56928.0,55409.0,44989.0,39958.0,36636.0,42113.0,46791.0,20694.0,12086.0,11875.0,8294.0,5342.0,1349.0,1383696.0,37.56359,126.975407,"(37.56359, 126.975407)"
69,1호선,시청,151,2.0,승차,4419.0,6416.0,14672.0,17620.0,21322.0,24441.0,36889.0,39548.0,49652.0,62769.0,85708.0,99800.0,179348.0,354707.0,117645.0,97240.0,95388.0,62519.0,20700.0,879.0,1391682.0,37.56359,126.975407,"(37.56359, 126.975407)"
70,1호선,시청,151,2.0,승하차 차이,-5105.0,-39979.0,-133383.0,-430311.0,-172506.0,-56585.0,-34139.0,-22649.0,-12085.0,13718.0,43669.0,61505.0,135034.0,305938.0,95890.0,84909.0,83656.0,53640.0,14892.0,-556.0,-14447.0,37.56359,126.975407,"(37.56359, 126.975407)"
